complaint_text,category,priority
Train delayed by 5 hours during night journey,Delay,Medium
Food quality is very bad in sleeper coach,Food,Low
Coach floor is dirty near washroom area,Cleanliness,Medium
No food available in pantry during night journey,Food,Low
Dirty washroom in coach affecting passengers,Cleanliness,Medium
Garbage not cleaned near seat,Cleanliness,Medium
Washroom door broken and dirty in sleeper coach,Cleanliness,Medium
Coach floor is dirty during night journey,Cleanliness,Medium
Smoke inside coach causing panic in AC coach,Safety,High
No food available in pantry during night journey,Food,Low
Unprofessional staff behavior in AC coach,Staff,Medium
Food not hygienic during long distance travel,Food,Low
Late arrival at destination,Delay,Medium
Dust and dirt inside coach in AC coach,Cleanliness,Medium
Door broken and unsafe in AC coach,Safety,High
Train stopped between stations,Delay,Medium
Dirty washroom in coach in AC coach,Cleanliness,Medium
Fire accident in coach during night journey,Safety,High
Overpriced food items near washroom area,Food,Low
Late arrival at destination in AC coach,Delay,Medium
Stale food served in AC coach,Food,Low
Food quality is very bad in AC coach,Food,Low
Staff behavior is rude,Staff,Medium
Staff behavior is rude,Staff,Medium
Overpriced food items in AC coach,Food,Low
Delay due to technical issue during night journey,Delay,Medium
Train delayed by 5 hours during night journey,Delay,Medium
Train delayed by 5 hours in AC coach,Delay,Medium
Door broken and unsafe in sleeper coach,Safety,High
Train stopped between stations affecting passengers,Delay,Medium
Staff ignored passenger complaint affecting passengers,Staff,Medium
Late arrival at destination during night journey,Delay,Medium
Passenger injured due to sudden brake,Safety,High
Staff ignored passenger complaint near washroom area,Staff,Medium
Dust and dirt inside coach in sleeper coach,Cleanliness,Medium
Dirty washroom in coach near washroom area,Cleanliness,Medium
Unexpected halt for long time during long distance travel,Delay,Medium
Ticket examiner not cooperative,Staff,Medium
Staff behavior is rude during long distance travel,Staff,Medium
Food quality is very bad near washroom area,Food,Low
Dust and dirt inside coach during long distance travel,Cleanliness,Medium
Food not hygienic,Food,Low
Ticket examiner not cooperative near washroom area,Staff,Medium
Staff behavior is rude near washroom area,Staff,Medium
Water leakage in washroom affecting passengers,Cleanliness,Medium
Unprofessional staff behavior near washroom area,Staff,Medium
Electric shock near charging point during night journey,Safety,High
Passenger injured due to sudden brake in sleeper coach,Safety,High
Late arrival at destination affecting passengers,Delay,Medium
Door broken and unsafe in sleeper coach,Safety,High
Dirty washroom in coach in AC coach,Cleanliness,Medium
Unprofessional staff behavior,Staff,Medium
Coach floor is dirty during night journey,Cleanliness,Medium
No response from railway staff during night journey,Staff,Medium
Fire accident in coach during night journey,Safety,High
Electric shock near charging point during night journey,Safety,High
Unexpected halt for long time affecting passengers,Delay,Medium
Emergency chain not working during long distance travel,Safety,High
Staff behavior is rude affecting passengers,Staff,Medium
No response from railway staff affecting passengers,Staff,Medium
Garbage not cleaned near seat in sleeper coach,Cleanliness,Medium
Dirty washroom in coach affecting passengers,Cleanliness,Medium
Ticket examiner not cooperative in sleeper coach,Staff,Medium
Emergency chain not working during night journey,Safety,High
Passenger injured due to sudden brake affecting passengers,Safety,High
Emergency chain not working in AC coach,Safety,High
Fire accident in coach,Safety,High
Train running behind schedule,Delay,Medium
Toilet smells very bad during long distance travel,Cleanliness,Medium
Food packaging is poor in sleeper coach,Food,Low
Food packaging is poor in AC coach,Food,Low
Staff ignored passenger complaint in AC coach,Staff,Medium
Staff behavior is rude,Staff,Medium
Dust and dirt inside coach during night journey,Cleanliness,Medium
Staff behavior is rude during long distance travel,Staff,Medium
Emergency chain not working near washroom area,Safety,High
Food not hygienic during night journey,Food,Low
Toilet smells very bad in sleeper coach,Cleanliness,Medium
Toilet smells very bad during night journey,Cleanliness,Medium
Food packaging is poor,Food,Low
Emergency chain not working during long distance travel,Safety,High
Unexpected halt for long time affecting passengers,Delay,Medium
Overpriced food items during long distance travel,Food,Low
Overpriced food items in AC coach,Food,Low
Garbage not cleaned near seat affecting passengers,Cleanliness,Medium
Door broken and unsafe during long distance travel,Safety,High
Stale food served during night journey,Food,Low
Water leakage in washroom during long distance travel,Cleanliness,Medium
Washroom door broken and dirty in AC coach,Cleanliness,Medium
Overpriced food items during long distance travel,Food,Low
Train running behind schedule in sleeper coach,Delay,Medium
Overpriced food items,Food,Low
Food not hygienic in sleeper coach,Food,Low
Fire accident in coach during long distance travel,Safety,High
Electric shock near charging point affecting passengers,Safety,High
Staff not helping passengers affecting passengers,Staff,Medium
No response from railway staff,Staff,Medium
Toilet smells very bad during night journey,Cleanliness,Medium
No response from railway staff,Staff,Medium
Coach floor is dirty in AC coach,Cleanliness,Medium
Smoke inside coach causing panic during long distance travel,Safety,High
Door broken and unsafe near washroom area,Safety,High
Staff behavior is rude in AC coach,Staff,Medium
Ticket examiner not cooperative in sleeper coach,Staff,Medium
Dust and dirt inside coach in AC coach,Cleanliness,Medium
Coach floor is dirty during long distance travel,Cleanliness,Medium
Staff ignored passenger complaint affecting passengers,Staff,Medium
Stale food served in AC coach,Food,Low
Dust and dirt inside coach in sleeper coach,Cleanliness,Medium
No response from railway staff affecting passengers,Staff,Medium
Dust and dirt inside coach in sleeper coach,Cleanliness,Medium
No response from railway staff affecting passengers,Staff,Medium
Train running behind schedule in AC coach,Delay,Medium
Emergency chain not working during night journey,Safety,High
Food not hygienic affecting passengers,Food,Low
Train stopped between stations affecting passengers,Delay,Medium
No food available in pantry near washroom area,Food,Low
Door broken and unsafe near washroom area,Safety,High
Toilet smells very bad in sleeper coach,Cleanliness,Medium
Food not hygienic during long distance travel,Food,Low
Unprofessional staff behavior affecting passengers,Staff,Medium
Door broken and unsafe in AC coach,Safety,High
Train stopped between stations during night journey,Delay,Medium
Staff not helping passengers during long distance travel,Staff,Medium
Food packaging is poor,Food,Low
Emergency chain not working affecting passengers,Safety,High
No response from railway staff,Staff,Medium
Food packaging is poor in sleeper coach,Food,Low
Overpriced food items during night journey,Food,Low
Dirty washroom in coach during night journey,Cleanliness,Medium
Unexpected halt for long time during long distance travel,Delay,Medium
Water leakage in washroom in AC coach,Cleanliness,Medium
Ticket examiner not cooperative affecting passengers,Staff,Medium
Delay due to technical issue in AC coach,Delay,Medium
Overpriced food items affecting passengers,Food,Low
Washroom door broken and dirty during long distance travel,Cleanliness,Medium
Washroom door broken and dirty in AC coach,Cleanliness,Medium
Overpriced food items during long distance travel,Food,Low
Staff not helping passengers,Staff,Medium
Ticket examiner not cooperative during long distance travel,Staff,Medium
Water leakage in washroom during night journey,Cleanliness,Medium
Train stopped between stations near washroom area,Delay,Medium
Unprofessional staff behavior in sleeper coach,Staff,Medium
Unexpected halt for long time during long distance travel,Delay,Medium
Staff not helping passengers during long distance travel,Staff,Medium
Staff not helping passengers during night journey,Staff,Medium
Delay due to technical issue in sleeper coach,Delay,Medium
Food packaging is poor in sleeper coach,Food,Low
Staff not helping passengers affecting passengers,Staff,Medium
Stale food served in AC coach,Food,Low
Dust and dirt inside coach in sleeper coach,Cleanliness,Medium
Stale food served in sleeper coach,Food,Low
Emergency chain not working,Safety,High
Overpriced food items during night journey,Food,Low
Train stopped between stations during night journey,Delay,Medium
Food quality is very bad in AC coach,Food,Low
Train running behind schedule near washroom area,Delay,Medium
Delay due to technical issue,Delay,Medium
Food not hygienic in AC coach,Food,Low
Staff ignored passenger complaint,Staff,Medium
Staff not helping passengers in AC coach,Staff,Medium
Toilet smells very bad in sleeper coach,Cleanliness,Medium
Delay due to technical issue near washroom area,Delay,Medium
Unprofessional staff behavior during night journey,Staff,Medium
Late arrival at destination in sleeper coach,Delay,Medium
Delay due to technical issue,Delay,Medium
Train running behind schedule affecting passengers,Delay,Medium
Train stopped between stations during night journey,Delay,Medium
Late arrival at destination near washroom area,Delay,Medium
Staff behavior is rude in AC coach,Staff,Medium
Unprofessional staff behavior affecting passengers,Staff,Medium
Dirty washroom in coach affecting passengers,Cleanliness,Medium
Late arrival at destination during long distance travel,Delay,Medium
Late arrival at destination,Delay,Medium
Door broken and unsafe in sleeper coach,Safety,High
Food not hygienic in sleeper coach,Food,Low
Door broken and unsafe in sleeper coach,Safety,High
Train running behind schedule during long distance travel,Delay,Medium
Water leakage in washroom,Cleanliness,Medium
Staff behavior is rude in sleeper coach,Staff,Medium
Food packaging is poor,Food,Low
Washroom door broken and dirty,Cleanliness,Medium
Overpriced food items during long distance travel,Food,Low
Coach floor is dirty during night journey,Cleanliness,Medium
Overpriced food items in AC coach,Food,Low
Coach floor is dirty during night journey,Cleanliness,Medium
Train stopped between stations in sleeper coach,Delay,Medium
Passenger injured due to sudden brake near washroom area,Safety,High
Staff ignored passenger complaint affecting passengers,Staff,Medium
Washroom door broken and dirty during long distance travel,Cleanliness,Medium
Stale food served,Food,Low
Staff behavior is rude in sleeper coach,Staff,Medium
Staff ignored passenger complaint in AC coach,Staff,Medium
Train stopped between stations during night journey,Delay,Medium
Coach floor is dirty affecting passengers,Cleanliness,Medium
Food quality is very bad affecting passengers,Food,Low
Smoke inside coach causing panic near washroom area,Safety,High
Washroom door broken and dirty near washroom area,Cleanliness,Medium
Toilet smells very bad near washroom area,Cleanliness,Medium
Train stopped between stations in sleeper coach,Delay,Medium
Coach floor is dirty affecting passengers,Cleanliness,Medium
Fire accident in coach during long distance travel,Safety,High
Delay due to technical issue,Delay,Medium
Train running behind schedule affecting passengers,Delay,Medium
Train stopped between stations during night journey,Delay,Medium
Late arrival at destination affecting passengers,Delay,Medium
Staff ignored passenger complaint in sleeper coach,Staff,Medium
Unprofessional staff behavior during long distance travel,Staff,Medium
Delay due to technical issue in AC coach,Delay,Medium
No response from railway staff in sleeper coach,Staff,Medium
Food quality is very bad in sleeper coach,Food,Low
Late arrival at destination during long distance travel,Delay,Medium
Unexpected halt for long time near washroom area,Delay,Medium
Train running behind schedule,Delay,Medium
Train running behind schedule during night journey,Delay,Medium
Late arrival at destination in sleeper coach,Delay,Medium
Electric shock near charging point in sleeper coach,Safety,High
Staff ignored passenger complaint in sleeper coach,Staff,Medium
Staff behavior is rude near washroom area,Staff,Medium
Food quality is very bad during night journey,Food,Low
Delay due to technical issue near washroom area,Delay,Medium
Food packaging is poor in AC coach,Food,Low
Delay due to technical issue during long distance travel,Delay,Medium
Dirty washroom in coach in sleeper coach,Cleanliness,Medium
Food not hygienic affecting passengers,Food,Low
Stale food served affecting passengers,Food,Low
No response from railway staff in AC coach,Staff,Medium
Unprofessional staff behavior in sleeper coach,Staff,Medium
Train stopped between stations near washroom area,Delay,Medium
Electric shock near charging point affecting passengers,Safety,High
Train running behind schedule in sleeper coach,Delay,Medium
Passenger injured due to sudden brake,Safety,High
Stale food served,Food,Low
Staff ignored passenger complaint during night journey,Staff,Medium
Overpriced food items affecting passengers,Food,Low
Train running behind schedule affecting passengers,Delay,Medium
Unprofessional staff behavior near washroom area,Staff,Medium
Fire accident in coach during long distance travel,Safety,High
Stale food served during night journey,Food,Low
Passenger injured due to sudden brake in sleeper coach,Safety,High
Dust and dirt inside coach near washroom area,Cleanliness,Medium
Stale food served,Food,Low
Coach floor is dirty in sleeper coach,Cleanliness,Medium
Food packaging is poor during long distance travel,Food,Low
Train delayed by 5 hours during long distance travel,Delay,Medium
Coach floor is dirty in sleeper coach,Cleanliness,Medium
Delay due to technical issue in AC coach,Delay,Medium
Passenger injured due to sudden brake,Safety,High
Door broken and unsafe,Safety,High
Water leakage in washroom in AC coach,Cleanliness,Medium
Coach floor is dirty affecting passengers,Cleanliness,Medium
Garbage not cleaned near seat during night journey,Cleanliness,Medium
No response from railway staff,Staff,Medium
Food quality is very bad near washroom area,Food,Low
Unexpected halt for long time near washroom area,Delay,Medium
Ticket examiner not cooperative during long distance travel,Staff,Medium
Staff not helping passengers in AC coach,Staff,Medium
Train running behind schedule during long distance travel,Delay,Medium
Staff not helping passengers in sleeper coach,Staff,Medium
Unprofessional staff behavior,Staff,Medium
Staff ignored passenger complaint,Staff,Medium
Food packaging is poor during night journey,Food,Low
Smoke inside coach causing panic,Safety,High
Overpriced food items during night journey,Food,Low
Staff behavior is rude during night journey,Staff,Medium
Water leakage in washroom in AC coach,Cleanliness,Medium
Staff not helping passengers in sleeper coach,Staff,Medium
Garbage not cleaned near seat in sleeper coach,Cleanliness,Medium
Smoke inside coach causing panic during long distance travel,Safety,High
Train delayed by 5 hours affecting passengers,Delay,Medium
Stale food served during long distance travel,Food,Low
Staff ignored passenger complaint during long distance travel,Staff,Medium
Food not hygienic,Food,Low
Ticket examiner not cooperative affecting passengers,Staff,Medium
Stale food served during long distance travel,Food,Low
Food quality is very bad,Food,Low
Stale food served near washroom area,Food,Low
No response from railway staff in AC coach,Staff,Medium
Water leakage in washroom affecting passengers,Cleanliness,Medium
Smoke inside coach causing panic in AC coach,Safety,High
Emergency chain not working near washroom area,Safety,High
Delay due to technical issue,Delay,Medium
Staff behavior is rude in AC coach,Staff,Medium
Emergency chain not working in sleeper coach,Safety,High
Dirty washroom in coach during night journey,Cleanliness,Medium
Unprofessional staff behavior,Staff,Medium
Emergency chain not working,Safety,High
Food not hygienic near washroom area,Food,Low
Train running behind schedule during night journey,Delay,Medium
Staff not helping passengers affecting passengers,Staff,Medium
Train delayed by 5 hours in AC coach,Delay,Medium
Door broken and unsafe in sleeper coach,Safety,High
Smoke inside coach causing panic,Safety,High
Stale food served in AC coach,Food,Low
Train running behind schedule affecting passengers,Delay,Medium
Unexpected halt for long time,Delay,Medium
Train delayed by 5 hours in sleeper coach,Delay,Medium
Electric shock near charging point,Safety,High
Unexpected halt for long time during long distance travel,Delay,Medium
Dust and dirt inside coach during long distance travel,Cleanliness,Medium
Staff not helping passengers in AC coach,Staff,Medium
Garbage not cleaned near seat near washroom area,Cleanliness,Medium
Emergency chain not working during long distance travel,Safety,High
Train stopped between stations in AC coach,Delay,Medium
Garbage not cleaned near seat in sleeper coach,Cleanliness,Medium
Ticket examiner not cooperative in sleeper coach,Staff,Medium
Train stopped between stations in AC coach,Delay,Medium
Dirty washroom in coach affecting passengers,Cleanliness,Medium
Ticket examiner not cooperative affecting passengers,Staff,Medium
Stale food served near washroom area,Food,Low
Coach floor is dirty in AC coach,Cleanliness,Medium
Garbage not cleaned near seat during long distance travel,Cleanliness,Medium
Water leakage in washroom,Cleanliness,Medium
Food not hygienic affecting passengers,Food,Low
Emergency chain not working affecting passengers,Safety,High
Door broken and unsafe during long distance travel,Safety,High
Delay due to technical issue during night journey,Delay,Medium
Unexpected halt for long time during night journey,Delay,Medium
Late arrival at destination near washroom area,Delay,Medium
Staff ignored passenger complaint during night journey,Staff,Medium
Toilet smells very bad during long distance travel,Cleanliness,Medium
Train running behind schedule during long distance travel,Delay,Medium
No response from railway staff during long distance travel,Staff,Medium
Toilet smells very bad affecting passengers,Cleanliness,Medium
Emergency chain not working near washroom area,Safety,High
Late arrival at destination in AC coach,Delay,Medium
Staff not helping passengers in sleeper coach,Staff,Medium
Emergency chain not working during long distance travel,Safety,High
Staff not helping passengers in AC coach,Staff,Medium
Passenger injured due to sudden brake affecting passengers,Safety,High
No food available in pantry in AC coach,Food,Low
Food not hygienic,Food,Low
Smoke inside coach causing panic in AC coach,Safety,High
Delay due to technical issue affecting passengers,Delay,Medium
Food not hygienic,Food,Low
No food available in pantry near washroom area,Food,Low
Fire accident in coach during long distance travel,Safety,High
Train delayed by 5 hours near washroom area,Delay,Medium
Train delayed by 5 hours affecting passengers,Delay,Medium
Food not hygienic during long distance travel,Food,Low
Food quality is very bad in AC coach,Food,Low
Electric shock near charging point near washroom area,Safety,High
Train stopped between stations,Delay,Medium
Smoke inside coach causing panic during long distance travel,Safety,High
Staff not helping passengers in sleeper coach,Staff,Medium
Unexpected halt for long time,Delay,Medium
Staff behavior is rude during night journey,Staff,Medium
Passenger injured due to sudden brake affecting passengers,Safety,High
Water leakage in washroom,Cleanliness,Medium
Water leakage in washroom during night journey,Cleanliness,Medium
Fire accident in coach,Safety,High
Fire accident in coach in sleeper coach,Safety,High
Electric shock near charging point in AC coach,Safety,High
Overpriced food items near washroom area,Food,Low
Unexpected halt for long time affecting passengers,Delay,Medium
Overpriced food items during night journey,Food,Low
Coach floor is dirty during long distance travel,Cleanliness,Medium
Unexpected halt for long time affecting passengers,Delay,Medium
Food not hygienic near washroom area,Food,Low
Overpriced food items in AC coach,Food,Low
Door broken and unsafe in sleeper coach,Safety,High
Washroom door broken and dirty in AC coach,Cleanliness,Medium
Smoke inside coach causing panic near washroom area,Safety,High
Food quality is very bad in AC coach,Food,Low
Emergency chain not working in sleeper coach,Safety,High
Train stopped between stations in sleeper coach,Delay,Medium
Train running behind schedule during night journey,Delay,Medium
Delay due to technical issue,Delay,Medium
Food not hygienic near washroom area,Food,Low
Emergency chain not working in sleeper coach,Safety,High
Fire accident in coach during long distance travel,Safety,High
Train running behind schedule,Delay,Medium
Staff ignored passenger complaint during long distance travel,Staff,Medium
Coach floor is dirty affecting passengers,Cleanliness,Medium
Train running behind schedule during long distance travel,Delay,Medium
No food available in pantry during long distance travel,Food,Low
Passenger injured due to sudden brake affecting passengers,Safety,High
No food available in pantry in sleeper coach,Food,Low
Food packaging is poor,Food,Low
Toilet smells very bad during long distance travel,Cleanliness,Medium
Train delayed by 5 hours near washroom area,Delay,Medium
Smoke inside coach causing panic during night journey,Safety,High
Toilet smells very bad in sleeper coach,Cleanliness,Medium
Late arrival at destination during night journey,Delay,Medium
No food available in pantry in sleeper coach,Food,Low
Unprofessional staff behavior in sleeper coach,Staff,Medium
Stale food served during long distance travel,Food,Low
Train running behind schedule affecting passengers,Delay,Medium
Fire accident in coach in AC coach,Safety,High
Garbage not cleaned near seat during long distance travel,Cleanliness,Medium
Food packaging is poor affecting passengers,Food,Low
Unexpected halt for long time in sleeper coach,Delay,Medium
Washroom door broken and dirty in AC coach,Cleanliness,Medium
Toilet smells very bad near washroom area,Cleanliness,Medium
Water leakage in washroom in sleeper coach,Cleanliness,Medium
Emergency chain not working in AC coach,Safety,High
Fire accident in coach affecting passengers,Safety,High
Food not hygienic,Food,Low
Unprofessional staff behavior in sleeper coach,Staff,Medium
Ticket examiner not cooperative affecting passengers,Staff,Medium
Dust and dirt inside coach during long distance travel,Cleanliness,Medium
Train stopped between stations in sleeper coach,Delay,Medium
Train delayed by 5 hours during night journey,Delay,Medium
Dirty washroom in coach in sleeper coach,Cleanliness,Medium
Train delayed by 5 hours,Delay,Medium
No food available in pantry during night journey,Food,Low
Delay due to technical issue in sleeper coach,Delay,Medium
Staff not helping passengers near washroom area,Staff,Medium
Food not hygienic affecting passengers,Food,Low
Washroom door broken and dirty in AC coach,Cleanliness,Medium
Staff not helping passengers in sleeper coach,Staff,Medium
Dust and dirt inside coach in sleeper coach,Cleanliness,Medium
Food not hygienic in AC coach,Food,Low
Stale food served,Food,Low
Emergency chain not working affecting passengers,Safety,High
Fire accident in coach in AC coach,Safety,High
Passenger injured due to sudden brake,Safety,High
Train delayed by 5 hours affecting passengers,Delay,Medium
Food packaging is poor affecting passengers,Food,Low
Staff behavior is rude,Staff,Medium
Passenger injured due to sudden brake during night journey,Safety,High
Ticket examiner not cooperative,Staff,Medium
Ticket examiner not cooperative near washroom area,Staff,Medium
Overpriced food items in sleeper coach,Food,Low
No food available in pantry,Food,Low
Passenger injured due to sudden brake during night journey,Safety,High
No response from railway staff during long distance travel,Staff,Medium
Food quality is very bad affecting passengers,Food,Low
Garbage not cleaned near seat,Cleanliness,Medium
Passenger injured due to sudden brake near washroom area,Safety,High
Fire accident in coach during night journey,Safety,High
Fire accident in coach during night journey,Safety,High
Unexpected halt for long time,Delay,Medium
Water leakage in washroom in AC coach,Cleanliness,Medium
Emergency chain not working near washroom area,Safety,High
Water leakage in washroom near washroom area,Cleanliness,Medium
No food available in pantry,Food,Low
No response from railway staff in AC coach,Staff,Medium
Dirty washroom in coach in AC coach,Cleanliness,Medium
Delay due to technical issue affecting passengers,Delay,Medium
Water leakage in washroom affecting passengers,Cleanliness,Medium
Train delayed by 5 hours,Delay,Medium
Emergency chain not working during night journey,Safety,High
Garbage not cleaned near seat in sleeper coach,Cleanliness,Medium
Staff ignored passenger complaint near washroom area,Staff,Medium
Staff ignored passenger complaint in sleeper coach,Staff,Medium
Unexpected halt for long time near washroom area,Delay,Medium
Door broken and unsafe near washroom area,Safety,High
Staff not helping passengers,Staff,Medium
Washroom door broken and dirty affecting passengers,Cleanliness,Medium
Staff ignored passenger complaint during long distance travel,Staff,Medium
Food not hygienic in AC coach,Food,Low
Food not hygienic in sleeper coach,Food,Low
Delay due to technical issue in AC coach,Delay,Medium
Toilet smells very bad in AC coach,Cleanliness,Medium
Smoke inside coach causing panic in sleeper coach,Safety,High
Passenger injured due to sudden brake affecting passengers,Safety,High
Train delayed by 5 hours,Delay,Medium
Dirty washroom in coach in AC coach,Cleanliness,Medium
Dust and dirt inside coach affecting passengers,Cleanliness,Medium
Passenger injured due to sudden brake near washroom area,Safety,High
Coach floor is dirty near washroom area,Cleanliness,Medium
No response from railway staff affecting passengers,Staff,Medium
Water leakage in washroom in sleeper coach,Cleanliness,Medium
Train stopped between stations,Delay,Medium
Emergency chain not working in sleeper coach,Safety,High
Fire accident in coach near washroom area,Safety,High
Ticket examiner not cooperative during night journey,Staff,Medium
Late arrival at destination during long distance travel,Delay,Medium
Toilet smells very bad during long distance travel,Cleanliness,Medium
No response from railway staff,Staff,Medium
Emergency chain not working during night journey,Safety,High
Unexpected halt for long time during long distance travel,Delay,Medium
Unprofessional staff behavior affecting passengers,Staff,Medium
Staff behavior is rude near washroom area,Staff,Medium
Fire accident in coach during night journey,Safety,High
Smoke inside coach causing panic during long distance travel,Safety,High
Electric shock near charging point in sleeper coach,Safety,High
Garbage not cleaned near seat during long distance travel,Cleanliness,Medium
No food available in pantry affecting passengers,Food,Low
Train delayed by 5 hours during night journey,Delay,Medium
Dirty washroom in coach affecting passengers,Cleanliness,Medium
Ticket examiner not cooperative in AC coach,Staff,Medium
Delay due to technical issue in sleeper coach,Delay,Medium
Stale food served in sleeper coach,Food,Low
Emergency chain not working near washroom area,Safety,High
Dirty washroom in coach during night journey,Cleanliness,Medium
No food available in pantry,Food,Low
Toilet smells very bad in AC coach,Cleanliness,Medium
Delay due to technical issue near washroom area,Delay,Medium
Delay due to technical issue in sleeper coach,Delay,Medium
No food available in pantry,Food,Low
Door broken and unsafe,Safety,High
Smoke inside coach causing panic affecting passengers,Safety,High
Staff not helping passengers near washroom area,Staff,Medium
Fire accident in coach during night journey,Safety,High
Unexpected halt for long time,Delay,Medium
Garbage not cleaned near seat in sleeper coach,Cleanliness,Medium
Overpriced food items during long distance travel,Food,Low
Electric shock near charging point in sleeper coach,Safety,High
Dirty washroom in coach in AC coach,Cleanliness,Medium
Late arrival at destination during night journey,Delay,Medium
Unexpected halt for long time affecting passengers,Delay,Medium
No food available in pantry near washroom area,Food,Low
Fire accident in coach in AC coach,Safety,High
Water leakage in washroom,Cleanliness,Medium
Train delayed by 5 hours during long distance travel,Delay,Medium
Emergency chain not working in AC coach,Safety,High
Staff not helping passengers affecting passengers,Staff,Medium
Train running behind schedule,Delay,Medium
Train delayed by 5 hours in sleeper coach,Delay,Medium
No food available in pantry in AC coach,Food,Low
Fire accident in coach in AC coach,Safety,High
Garbage not cleaned near seat in AC coach,Cleanliness,Medium
Staff not helping passengers near washroom area,Staff,Medium
Water leakage in washroom during long distance travel,Cleanliness,Medium
Smoke inside coach causing panic in sleeper coach,Safety,High
Stale food served during long distance travel,Food,Low
Food quality is very bad near washroom area,Food,Low
Coach floor is dirty near washroom area,Cleanliness,Medium
Stale food served in sleeper coach,Food,Low
Overpriced food items,Food,Low
Stale food served during night journey,Food,Low
No food available in pantry during night journey,Food,Low
Garbage not cleaned near seat during long distance travel,Cleanliness,Medium
Delay due to technical issue during long distance travel,Delay,Medium
Unprofessional staff behavior in AC coach,Staff,Medium
Staff ignored passenger complaint affecting passengers,Staff,Medium
No response from railway staff during long distance travel,Staff,Medium
Passenger injured due to sudden brake in AC coach,Safety,High
Water leakage in washroom in AC coach,Cleanliness,Medium
Electric shock near charging point near washroom area,Safety,High
Toilet smells very bad near washroom area,Cleanliness,Medium
Toilet smells very bad in AC coach,Cleanliness,Medium
Train delayed by 5 hours,Delay,Medium
Electric shock near charging point,Safety,High
Coach floor is dirty near washroom area,Cleanliness,Medium
Staff not helping passengers in AC coach,Staff,Medium
Unprofessional staff behavior during long distance travel,Staff,Medium
Water leakage in washroom during long distance travel,Cleanliness,Medium
